menu_item_id,restaurant_id,item_name,item_type,is_veg,unit_price,is_available
1,1,Veg Taco,Main Course,True,290,True
2,1,Cheese Corn Sandwich,Main Course,True,282,True
3,1,Chicken Burger,Main Course,False,310,True
4,1,Peri Peri Fries,Starter,True,118,True
5,1,Double Patty Burger,Main Course,False,175,True
6,1,Cold Coffee,Beverage,True,62,True
7,1,Onion Rings,Starter,True,121,True
8,1,Chicken Nuggets,Starter,False,160,True
9,1,Milkshake,Beverage,True,108,True
10,1,Coca Cola,Beverage,True,135,True
11,1,Chicken Wrap,Main Course,False,167,True
12,1,Grilled Sandwich,Main Course,True,205,True
13,1,Pepsi,Beverage,True,91,True
14,1,Loaded Fries,Starter,True,134,True
15,1,Veg Sandwich,Main Course,True,201,True
16,1,Sprite,Beverage,True,106,True
17,1,Chocolate Sundae,Dessert,True,95,True
18,1,Garlic Bread,Starter,True,117,True
19,1,Veg Nuggets,Starter,True,117,True
20,1,Hot Dog,Main Course,False,247,True
21,1,French Fries,Starter,True,133,True
22,1,Soft Serve,Dessert,True,173,True
23,1,Veg Burger,Main Course,True,169,True
24,1,Chicken Taco,Main Course,False,214,True
25,1,Brownie,Dessert,True,178,True
26,1,Veg Wrap,Main Course,True,268,True
27,2,Hot Dog,Main Course,False,269,True
28,2,Cold Coffee,Beverage,True,52,True
29,2,Sprite,Beverage,True,105,True
30,2,Chicken Burger,Main Course,False,220,True
31,2,Veg Nuggets,Starter,True,148,True
32,2,Milkshake,Beverage,True,51,True
33,2,Double Patty Burger,Main Course,False,269,True
34,2,Cheese Corn Sandwich,Main Course,True,193,True
35,2,Soft Serve,Dessert,True,176,True
36,2,Onion Rings,Starter,True,90,True
37,2,Grilled Sandwich,Main Course,True,286,True
38,2,Pepsi,Beverage,True,51,True
39,2,Chicken Sandwich,Main Course,False,192,True
40,2,Veg Sandwich,Main Course,True,311,True
41,2,Brownie,Dessert,True,179,True
42,2,Veg Burger,Main Course,True,299,True
43,2,French Fries,Starter,True,159,True
44,2,Chocolate Sundae,Dessert,True,121,True
45,2,Veg Wrap,Main Course,True,207,True
46,2,Peri Peri Fries,Starter,True,144,True
47,2,Loaded Fries,Starter,True,164,True
48,2,Cheese Burger,Main Course,True,262,True
49,2,Chicken Wrap,Main Course,False,284,True
50,3,Paneer Biryani,Main Course,True,296,True
51,3,Paneer Bhurji,Main Course,True,588,True
52,3,Tandoori Roti,Starter,True,231,True
53,3,Chicken Biryani,Main Course,False,476,True
54,3,Aam Panna,Beverage,True,126,True
55,3,Butter Naan,Starter,True,273,True
56,3,Methi Malai Matar,Main Course,True,482,True
57,3,Mutton Keema,Main Course,False,355,True
58,3,Kofta Curry,Main Course,True,441,True
59,3,Butter Chicken,Main Course,False,494,True
60,3,Chicken Tikka,Starter,False,254,True
61,3,Kadhai Paneer,Main Course,True,382,True
62,3,Dal Tadka,Main Course,True,432,True
63,3,Tandoori Chicken,Starter,False,238,True
64,3,Veg Pulao,Main Course,True,615,True
65,3,Jaljeera,Beverage,True,209,True
66,3,Amritsari Chole,Main Course,True,413,True
67,3,Aloo Gobi,Main Course,True,484,True
68,3,Malai Kofta,Main Course,True,537,True
69,3,Chicken Korma,Main Course,False,497,True
70,3,Hara Bhara Kebab,Starter,True,191,True
71,3,Fish Curry,Main Course,False,460,True
72,3,Lassi,Beverage,True,230,True
73,3,Phirni,Dessert,True,159,True
74,3,Chole Masala,Main Course,True,514,True
75,3,Paneer Butter Masala,Main Course,True,313,True
76,3,Bhindi Masala,Main Course,True,594,True
77,3,Mango Lassi,Beverage,True,113,True
78,3,Shahi Paneer,Main Course,True,584,True
79,3,Kulfi,Dessert,True,257,True
80,3,Masala Chaas,Beverage,True,130,True
81,3,Masala Papad,Starter,True,113,True
82,3,Chicken Seekh Kebab,Starter,False,138,True
83,3,Veg Kolhapuri,Main Course,True,320,True
84,3,Gulab Jamun,Dessert,True,143,True
85,3,Rasmalai,Dessert,True,155,True
86,3,Dal Makhani,Main Course,True,411,True
87,3,Kheer,Dessert,True,152,True
88,3,Achari Paneer,Main Course,True,476,True
89,3,Veg Seekh Kebab,Starter,True,108,True
90,4,Pepsi,Beverage,True,61,True
91,4,Veg Extravaganza Pizza,Main Course,True,522,True
92,4,Paneer Tikka Pizza,Main Course,True,353,True
93,4,Garlic Bread,Starter,True,152,True
94,4,Chicken Dominator,Main Course,False,548,True
95,4,Chocolate Milkshake,Beverage,True,107,True
96,4,Chicken Pasta,Main Course,False,288,True
97,4,Cheesy Garlic Bread,Starter,True,212,True
98,4,Pepperoni Pizza,Main Course,False,419,True
99,4,Vanilla Shake,Beverage,True,85,True
100,4,Stuffed Garlic Bread,Starter,True,218,True
101,4,Strawberry Shake,Beverage,True,109,True
102,4,Chicken Tikka Pizza,Main Course,False,262,True
103,4,Corn Cheese Pizza,Main Course,True,285,True
104,4,Farmhouse Pizza,Main Course,True,422,True
105,4,Chocolate Lava Cake,Dessert,True,139,True
106,4,Sprite,Beverage,True,124,True
107,4,Coca Cola,Beverage,True,67,True
108,4,Margherita Pizza,Main Course,True,391,True
109,4,Spicy Paneer Pizza,Main Course,True,392,True
110,4,Potato Wedges,Starter,True,211,True
111,4,Choco Lava Muffin,Dessert,True,217,True
112,5,Medu Vada,Starter,True,149,True
113,5,Neer Dosa,Main Course,True,236,True
114,5,Filter Coffee,Beverage,True,101,True
115,5,Elaneer Payasam,Dessert,True,102,True
116,5,Poori Bhaji,Main Course,True,246,True
117,5,Buttermilk,Beverage,True,48,True
118,5,Vegetable Upma,Main Course,True,259,True
119,5,Tomato Rice,Main Course,True,248,True
120,5,Vegetable Stew,Main Course,True,177,True
121,5,Bisibele Bath,Main Course,True,241,True
122,5,Sambar Vada,Starter,True,60,True
123,5,Fresh Lime Juice,Beverage,True,73,True
124,5,Badam Milk,Beverage,True,87,True
125,5,Appam,Main Course,True,208,True
126,5,Mangalore Buns,Starter,True,60,True
127,5,Mysore Masala Dosa,Main Course,True,135,True
128,5,Mango Lassi,Beverage,True,100,True
129,5,Lemon Rice,Main Course,True,188,True
130,5,Onion Dosa,Main Course,True,141,True
131,5,Rava Dosa,Main Course,True,212,True
132,5,Idli,Main Course,True,195,True
